x, y
0.00169971671388102, -7.279596977329975
0.00453257790368272, -6.297229219143577
0.00793201133144476, -5.44080604534005
0.01359773371104816, -4.659949622166247
0.01926345609065156, -3.97984886649874
0.02492917847025496, -3.4256926952141056
0.03172804532577904, -2.8715365239294703
0.0368271954674221, -2.418136020151133
0.043626062322946184, -2.0403022670025184
0.04759206798866856, -1.6876574307304786
0.0538243626062323, -1.3853904282115863
0.056657223796034, -1.1083123425692687
0.06288951841359774, -0.8564231738035257
0.06402266288951843, -0.6297229219143574
0.06855524079320115, -0.4785894206549113
0.06628895184135979, -0.3526448362720398
0.0651558073654391, -0.176322418136019
0.04079320113314448, -0.05037783375314753
