x, y
0.0012168226153330083, -9.671717171717171
0.0018016972604371498, -8.383838383838384
0.0026158548163610867, -7.272727272727273
0.003651741272548377, -6.287878787878788
0.004998775543415974, -5.404040404040404
0.006978305848598663, -4.646464646464646
0.008831261145053827, -3.9898989898989896
0.01162360676628372, -3.383838383838384
0.015001557937926657, -2.878787878787879
0.018254234964097556, -2.398989898989899
0.023559121444194232, -1.9949494949494948
0.02923540341023621, -1.6414141414141419
0.037731541243246826, -1.3383838383838391
0.04682249430010587, -1.0858585858585865
0.06042963902381325, -0.8585858585858581
0.07799117341213747, -0.6313131313131315
0.10265110680046623, -0.4797979797979792
0.13248267573248557, -0.27777777777777857
0.18135215776546626, -0.15151515151515227
0.23869367392260227, 0
