x, y
0.00011997646044427389, -8.405063291139241
0.00023598334667821938, -7.291139240506329
0.00047639380104013405, -6.30379746835443
0.0008444105920076832, -5.443037974683544
0.0014208308325339223, -4.658227848101266
0.0019926683747250955, -4
0.002794651664862965, -3.417721518987342
0.003625117049988535, -2.886075949367089
0.004349287123538118, -2.405063291139241
0.005218120745379614, -2.0253164556962027
0.006260516572014822, -1.6708860759493671
0.007511146188630574, -1.3670886075949369
0.008780167981186077, -1.113924050632912
0.011096799524483291, -0.8607594936708853
0.014394351060736416, -0.6582278481012658
0.019669137246120696, -0.4556962025316462
0.03309588595067667, -0.27848101265822756
0.08015946357760688, -0.12658227848101333
0.21544346900318845, -0.05063291139240533
